fraction,score,type
0.1,0.6399581274043916,RF: 100 Trees
0.1,0.6210773744338428,RF: 15 Trees
0.1,0.6267168840401027,RF: 25 Trees
0.1,0.6342259018486608,RF: 50 Trees
0.1,0.639080562052835,RF: 75 Trees
0.2,0.4771957644154601,RF: 100 Trees
0.2,0.45224741510999517,RF: 15 Trees
0.2,0.46553191964880986,RF: 25 Trees
0.2,0.4710337406621902,RF: 50 Trees
0.2,0.4753600039431232,RF: 75 Trees
0.3,0.3697808945368209,RF: 100 Trees
0.3,0.34629977347046603,RF: 15 Trees
0.3,0.35591748849247673,RF: 25 Trees
0.3,0.36547339005810603,RF: 50 Trees
0.3,0.3679129189363931,RF: 75 Trees
0.4,0.2961093338252003,RF: 100 Trees
0.4,0.28221072587356644,RF: 15 Trees
0.4,0.28952831157052844,RF: 25 Trees
0.4,0.29289926723784615,RF: 50 Trees
0.4,0.2949380641776967,RF: 75 Trees
0.5,0.24080248858417772,RF: 100 Trees
0.5,0.23021845526979887,RF: 15 Trees
0.5,0.23562395976073325,RF: 25 Trees
0.5,0.23866751040021347,RF: 50 Trees
0.5,0.24001917138360446,RF: 75 Trees
0.6,0.1942991588835304,RF: 100 Trees
0.6,0.1885121176696305,RF: 15 Trees
0.6,0.19189507189363783,RF: 25 Trees
0.6,0.19419065035994154,RF: 50 Trees
0.6,0.19395410033978785,RF: 75 Trees
0.7,0.14861996357894738,RF: 100 Trees
0.7,0.1482277801505699,RF: 15 Trees
0.7,0.14956634726507656,RF: 25 Trees
0.7,0.14959723713125841,RF: 50 Trees
0.7,0.14896407775065346,RF: 75 Trees
0.8,0.10620851876208345,RF: 100 Trees
0.8,0.10694395571290753,RF: 15 Trees
0.8,0.10743066815314205,RF: 25 Trees
0.8,0.10694884564642117,RF: 50 Trees
0.8,0.10662099608896936,RF: 75 Trees
0.9,0.0679015012112226,RF: 100 Trees
0.9,0.06824492286819411,RF: 15 Trees
0.9,0.0681813585831845,RF: 25 Trees
0.9,0.06823733341680457,RF: 50 Trees
0.9,0.067964261044705,RF: 75 Trees
